ID,timeStamp,packetNumber,sampleNumber,accX,accY,accZ,gyrX,gyrY,gyrZ
1,1496757323,2406,1,-41,-88,9,0,1,0
1,1496757323,2406,2,-38,-91,6,-2,0,0
1,1496757323,2406,3,-40,-88,10,0,1,0
1,1496757323,2406,4,-39,-88,8,-2,0,0
1,1496757323,2406,5,-41,-92,8,0,1,0
1,1496757323,2406,6,-39,-90,8,-2,1,0
1,1496757323,2406,7,-41,-95,7,0,0,0
1,1496757323,2406,8,-40,-94,6,0,0,0
1,1496757323,2406,9,-41,-87,10,-2,0,0
1,1496757323,2406,10,-40,-89,7,-2,0,0
1,1496757323,2406,11,-40,-91,9,-2,0,0
1,1496757323,2406,12,-40,-94,5,-2,0,0
1,1496757323,2406,13,-41,-91,9,-2,0,0
1,1496757323,2406,14,-41,-91,8,0,1,0
1,1496757323,2406,15,-39,-89,8,-2,0,0
1,1496757323,2406,16,-41,-90,7,0,0,0
1,1496757323,2406,17,-40,-93,9,0,1,0
1,1496757323,2406,18,-41,-89,7,-2,0,0
1,1496757323,2406,19,-40,-88,9,-2,1,0
1,1496757323,2406,20,-39,-88,9,-2,0,0
1,1496757325,2408,1,-43,-90,7,-2,0,0
1,1496757325,2408,2,-41,-90,9,0,1,0
1,1496757325,2408,3,-39,-90,10,0,0,0
1,1496757325,2408,4,-40,-91,6,-2,0,0
1,1496757325,2408,5,-42,-89,9,0,0,0
1,1496757325,2408,6,-40,-91,8,-2,0,0
1,1496757325,2408,7,-40,-89,7,-2,0,0
1,1496757325,2408,8,-43,-89,8,0,0,0
1,1496757325,2408,9,-42,-89,9,0,1,0
1,1496757325,2408,10,-39,-89,9,-2,1,0
1,1496757325,2408,11,-40,-89,5,-4,0,0
1,1496757325,2408,12,-42,-90,7,0,0,0
1,1496757325,2408,13,-40,-88,8,-2,0,0
1,1496757325,2408,14,-40,-86,8,-2,0,0
1,1496757325,2408,15,-38,-88,7,-4,0,0
1,1496757325,2408,16,-41,-89,8,0,1,0
1,1496757325,2408,17,-42,-92,7,0,0,0
1,1496757325,2408,18,-40,-91,9,0,1,0
1,1496757325,2408,19,-40,-89,6,-2,0,0
1,1496757325,2408,20,-40,-89,8,-2,0,0
1,1496757326,2409,1,-41,-89,8,-2,1,0
1,1496757326,2409,2,-38,-90,7,-2,0,0
1,1496757326,2409,3,-38,-89,8,-4,1,0
1,1496757326,2409,4,-41,-89,6,-2,0,0
1,1496757326,2409,5,-41,-92,6,-2,0,0
1,1496757326,2409,6,-42,-90,10,0,0,0
1,1496757326,2409,7,-42,-93,9,-2,1,0
1,1496757326,2409,8,-40,-92,9,-2,1,0
1,1496757326,2409,9,-38,-91,6,-2,1,0
1,1496757326,2409,10,-40,-85,9,-4,0,0
1,1496757326,2409,11,-43,-89,7,-2,0,0
1,1496757326,2409,12,-39,-86,8,-4,1,0
1,1496757326,2409,13,-40,-87,9,-2,0,0
1,1496757326,2409,14,-38,-86,10,0,1,0
1,1496757326,2409,15,-39,-90,7,-4,0,0
1,1496757326,2409,16,-42,-95,6,0,0,0
1,1496757326,2409,17,-43,-94,8,0,0,0
1,1496757326,2409,18,-42,-90,9,0,0,0
1,1496757326,2409,19,-43,-91,10,0,0,0
1,1496757326,2409,20,-39,-88,10,0,1,0
1,1496757328,2411,1,-41,-89,8,0,0,0
1,1496757328,2411,2,-38,-88,8,-2,0,0
1,1496757328,2411,3,-40,-90,10,-2,0,0
1,1496757328,2411,4,-39,-89,8,-2,0,0
1,1496757328,2411,5,-38,-88,10,0,1,0
1,1496757328,2411,6,-38,-87,8,-2,0,0
1,1496757328,2411,7,-40,-90,7,-2,0,0
1,1496757328,2411,8,-41,-89,8,-2,0,0
1,1496757328,2411,9,-42,-90,8,0,0,0
1,1496757328,2411,10,-42,-90,8,0,0,0
1,1496757328,2411,11,-42,-92,6,-2,0,0
1,1496757328,2411,12,-42,-91,7,0,0,0
1,1496757328,2411,13,-42,-91,7,-2,0,0
1,1496757328,2411,14,-38,-87,8,-2,0,0
1,1496757328,2411,15,-43,-92,9,0,0,0
1,1496757328,2411,16,-42,-93,10,0,1,0
1,1496757328,2411,17,-39,-89,10,0,1,0
1,1496757328,2411,18,-40,-92,9,0,1,0
1,1496757328,2411,19,-39,-89,9,-2,1,0
1,1496757328,2411,20,-39,-89,8,-2,0,0
1,1496757330,2413,1,-40,-89,7,-2,0,0
1,1496757330,2413,2,-39,-87,8,0,0,0
1,1496757330,2413,3,-39,-90,8,-2,0,0
1,1496757330,2413,4,-39,-90,9,-2,0,0
1,1496757330,2413,5,-39,-90,8,0,0,0
1,1496757330,2413,6,-41,-90,8,0,1,0
1,1496757330,2413,7,-42,-90,8,0,0,0
1,1496757330,2413,8,-41,-88,10,0,3,-2
1,1496757330,2413,9,-42,-90,9,-2,1,0
1,1496757330,2413,10,-41,-89,7,0,0,0
1,1496757330,2413,11,-39,-91,8,-4,0,0
1,1496757330,2413,12,-40,-91,8,-2,0,0
1,1496757330,2413,13,-40,-91,9,-2,0,0
1,1496757330,2413,14,-40,-89,7,-2,0,0
1,1496757330,2413,15,-41,-91,8,-2,0,0
1,1496757330,2413,16,-42,-92,8,0,0,0
1,1496757330,2413,17,-41,-91,9,0,0,0
1,1496757330,2413,18,-42,-91,9,0,0,0
1,1496757330,2413,19,-41,-93,6,-2,0,0
1,1496757330,2413,20,-42,-92,6,-2,0,0
1,1496757331,2414,1,-40,-88,8,-2,0,0
1,1496757331,2414,2,-40,-88,9,0,0,0
1,1496757331,2414,3,-41,-89,8,0,0,0
1,1496757331,2414,4,-40,-90,9,-2,0,0
1,1496757331,2414,5,-40,-94,8,-2,1,0
1,1496757331,2414,6,-39,-90,8,-2,1,0
1,1496757331,2414,7,-42,-91,10,0,1,0
1,1496757331,2414,8,-42,-88,8,-2,0,0
1,1496757331,2414,9,-40,-90,7,-2,0,0
1,1496757331,2414,10,-42,-90,7,0,0,0
1,1496757331,2414,11,-41,-91,7,0,1,0
1,1496757331,2414,12,-40,-90,9,0,1,0
1,1496757331,2414,13,-40,-90,7,-2,0,0
1,1496757331,2414,14,-42,-91,9,0,0,0
1,1496757331,2414,15,-42,-93,8,-2,0,0
1,1496757331,2414,16,-42,-90,9,-2,1,0
1,1496757331,2414,17,-41,-90,8,-2,0,0
1,1496757331,2414,18,-41,-90,8,0,0,0
1,1496757331,2414,19,-40,-93,7,0,0,0
1,1496757331,2414,20,-39,-89,7,0,0,0
1,1496757332,2415,1,-40,-90,8,-2,0,0
1,1496757332,2415,2,-39,-89,9,0,1,0
1,1496757332,2415,3,-41,-91,9,0,1,0
1,1496757332,2415,4,-40,-91,9,-2,1,0
1,1496757332,2415,5,-41,-90,8,-2,1,0
1,1496757332,2415,6,-41,-89,6,-2,0,0
1,1496757332,2415,7,-40,-91,7,-2,0,0
1,1496757332,2415,8,-40,-90,7,0,0,0
1,1496757332,2415,9,-41,-88,8,-2,0,0
1,1496757332,2415,10,-41,-93,8,-2,0,0
1,1496757332,2415,11,-42,-91,8,-2,0,0
1,1496757332,2415,12,-42,-93,7,-2,0,0
1,1496757332,2415,13,-42,-89,8,0,1,0
1,1496757332,2415,14,-40,-89,7,0,0,0
1,1496757332,2415,15,-40,-88,7,-2,0,0
1,1496757332,2415,16,-39,-88,8,0,0,0
1,1496757332,2415,17,-38,-88,7,-4,0,0
1,1496757332,2415,18,-41,-90,9,-2,0,0
1,1496757332,2415,19,-43,-93,10,0,0,0
1,1496757332,2415,20,-42,-90,8,0,1,0
1,1496757333,2417,1,-40,-87,7,0,1,0
1,1496757333,2417,2,-40,-91,9,-2,0,0
1,1496757333,2417,3,-40,-88,8,-2,0,0
1,1496757333,2417,4,-41,-90,8,0,0,0
1,1496757333,2417,5,-41,-91,8,-2,0,0
1,1496757333,2417,6,-41,-90,6,-2,0,0
1,1496757333,2417,7,-41,-91,7,-2,0,0
1,1496757333,2417,8,-40,-90,8,-2,0,0
1,1496757333,2417,9,-40,-91,8,-2,1,0
1,1496757333,2417,10,-41,-90,8,-2,0,0
1,1496757333,2417,11,-40,-87,8,-2,0,0
1,1496757333,2417,12,-41,-88,8,-2,0,0
1,1496757333,2417,13,-40,-87,8,-2,0,0
1,1496757333,2417,14,-40,-87,9,-2,0,0
1,1496757333,2417,15,-40,-89,9,-2,1,0
1,1496757333,2417,16,-40,-88,9,0,1,0
1,1496757333,2417,17,-41,-89,8,0,0,0
1,1496757333,2417,18,-42,-89,8,0,0,0
1,1496757333,2417,19,-40,-92,7,-2,0,0
1,1496757333,2417,20,-40,-89,7,-4,0,0
1,1496757334,2418,1,-40,-91,8,0,0,0
1,1496757334,2418,2,-41,-89,9,0,1,0
1,1496757334,2418,3,-40,-89,8,0,0,0
1,1496757334,2418,4,-41,-88,8,0,0,0
1,1496757334,2418,5,-41,-89,7,0,0,0
1,1496757334,2418,6,-41,-90,9,0,0,0
1,1496757334,2418,7,-40,-91,9,0,0,0
1,1496757334,2418,8,-42,-89,8,0,0,0
1,1496757334,2418,9,-41,-91,8,-2,0,0
1,1496757334,2418,10,-40,-90,7,-2,0,0
1,1496757334,2418,11,-41,-92,6,-2,0,0
1,1496757334,2418,12,-42,-90,8,0,0,0
1,1496757334,2418,13,-41,-92,9,0,0,0
1,1496757334,2418,14,-40,-90,9,-2,0,0
1,1496757334,2418,15,-40,-90,9,-2,0,0
1,1496757334,2418,16,-40,-89,7,0,0,0
1,1496757334,2418,17,-40,-89,9,-2,0,0
1,1496757334,2418,18,-40,-89,9,0,0,0
1,1496757334,2418,19,-40,-90,8,-2,0,0
1,1496757334,2418,20,-41,-91,6,0,0,0
1,1496757336,2420,1,-41,-92,7,0,0,0
1,1496757336,2420,2,-40,-90,7,-2,0,0
1,1496757336,2420,3,-40,-92,6,-2,0,0
1,1496757336,2420,4,-40,-90,7,-2,0,0
1,1496757336,2420,5,-40,-88,7,0,1,0
1,1496757336,2420,6,-41,-90,7,0,0,0
1,1496757336,2420,7,-42,-92,8,0,0,0
1,1496757336,2420,8,-40,-90,10,0,0,0
1,1496757336,2420,9,-41,-89,11,0,1,0
1,1496757336,2420,10,-40,-90,8,-2,0,0
1,1496757336,2420,11,-39,-89,8,-2,1,0
1,1496757336,2420,12,-39,-90,7,-2,0,0
1,1496757336,2420,13,-41,-93,7,-2,0,0
1,1496757336,2420,14,-41,-91,9,-2,1,0
1,1496757336,2420,15,-43,-90,10,0,1,0
1,1496757336,2420,16,-41,-88,8,0,0,0
1,1496757336,2420,17,-40,-88,6,0,0,0
1,1496757336,2420,18,-39,-89,8,-2,1,0
1,1496757336,2420,19,-41,-90,10,0,1,0
1,1496757336,2420,20,-40,-91,10,-2,1,0
1,1496757337,2421,1,-40,-92,9,0,1,0
1,1496757337,2421,2,-42,-88,8,0,0,0
1,1496757337,2421,3,-40,-89,7,-4,0,0
1,1496757337,2421,4,-42,-92,8,-2,0,0
1,1496757337,2421,5,-42,-89,9,0,0,0
1,1496757337,2421,6,-41,-92,9,0,0,0
1,1496757337,2421,7,-40,-89,9,-2,0,0
1,1496757337,2421,8,-39,-88,8,-2,0,0
1,1496757337,2421,9,-38,-90,6,-2,0,0
1,1496757337,2421,10,-40,-91,7,0,0,0
1,1496757337,2421,11,-40,-92,7,-2,0,0
1,1496757337,2421,12,-42,-90,8,-2,1,0
1,1496757337,2421,13,-39,-87,8,0,0,0
1,1496757337,2421,14,-42,-90,9,0,0,0
1,1496757337,2421,15,-41,-92,9,0,0,0
1,1496757337,2421,16,-41,-90,9,0,0,0
1,1496757337,2421,17,-41,-91,9,-2,0,0
1,1496757337,2421,18,-40,-86,9,0,0,0
1,1496757337,2421,19,-40,-89,7,-2,0,0
1,1496757337,2421,20,-39,-90,7,-2,0,0
1,1496757338,2422,1,-38,-91,6,-2,0,0
1,1496757338,2422,2,-40,-89,7,0,0,0
1,1496757338,2422,3,-41,-90,5,-2,0,0
1,1496757338,2422,4,-42,-91,7,0,0,0
1,1496757338,2422,5,-41,-92,8,-2,0,0
1,1496757338,2422,6,-42,-89,9,0,0,0
1,1496757338,2422,7,-40,-88,8,-2,0,0
1,1496757338,2422,8,-41,-90,9,0,0,0
1,1496757338,2422,9,-39,-86,9,-2,0,0
1,1496757338,2422,10,-40,-88,8,-2,0,0
1,1496757338,2422,11,-41,-89,8,-2,0,0
1,1496757338,2422,12,-40,-89,7,0,0,0
1,1496757338,2422,13,-39,-89,8,0,0,0
1,1496757338,2422,14,-39,-92,8,0,0,0
1,1496757338,2422,15,-41,-89,8,-2,0,0
1,1496757338,2422,16,-42,-91,10,0,0,0
1,1496757338,2422,17,-41,-88,9,0,0,0
1,1496757338,2422,18,-41,-88,8,0,0,0
1,1496757338,2422,19,-41,-90,8,-2,0,0
1,1496757338,2422,20,-40,-87,7,-2,0,0
1,1496757339,2423,1,-40,-88,7,-2,0,0
1,1496757339,2423,2,-39,-89,7,-2,0,0
1,1496757339,2423,3,-41,-90,8,0,0,0
1,1496757339,2423,4,-42,-90,8,0,0,0
1,1496757339,2423,5,-41,-90,7,-2,0,0
1,1496757339,2423,6,-40,-89,8,0,0,0
1,1496757339,2423,7,-40,-90,9,0,1,0
1,1496757339,2423,8,-40,-90,8,0,0,0
1,1496757339,2423,9,-39,-88,8,-2,0,0
1,1496757339,2423,10,-41,-87,7,0,0,0
1,1496757339,2423,11,-41,-91,10,0,1,0
1,1496757339,2423,12,-41,-89,10,0,0,0
1,1496757339,2423,13,-42,-92,6,0,1,0
1,1496757339,2423,14,-40,-90,7,-2,0,0
1,1496757339,2423,15,-40,-89,7,-2,0,0
1,1496757339,2423,16,-40,-89,9,-2,1,0
1,1496757339,2423,17,-41,-90,9,0,0,0
1,1496757339,2423,18,-39,-89,7,-4,0,0
1,1496757339,2423,19,-41,-89,9,0,0,0
1,1496757339,2423,20,-40,-90,10,0,0,0
1,1496757340,2424,1,-41,-88,9,0,1,0
1,1496757340,2424,2,-40,-92,6,-2,0,0
1,1496757340,2424,3,-40,-91,6,0,0,0
1,1496757340,2424,4,-40,-90,7,-2,0,0
1,1496757340,2424,5,-42,-93,10,0,0,0
1,1496757340,2424,6,-41,-92,9,0,0,0
1,1496757340,2424,7,-39,-89,7,-2,0,0
1,1496757340,2424,8,-40,-88,7,-2,0,0
1,1496757340,2424,9,-39,-90,8,-2,0,0
1,1496757340,2424,10,-42,-92,8,0,0,0
1,1496757340,2424,11,-42,-92,8,0,0,0
1,1496757340,2424,12,-41,-91,8,0,0,0
1,1496757340,2424,13,-41,-92,9,0,0,0
1,1496757340,2424,14,-41,-89,10,0,1,0
1,1496757340,2424,15,-39,-88,8,-2,0,0
1,1496757340,2424,16,-40,-91,8,-2,0,0
1,1496757340,2424,17,-39,-89,9,-2,0,0
1,1496757340,2424,18,-42,-89,10,0,1,0
1,1496757340,2424,19,-42,-92,9,0,1,0
1,1496757340,2424,20,-41,-92,7,-2,0,0
1,1496757341,2425,1,-42,-91,9,0,0,0
1,1496757341,2425,2,-41,-89,9,0,1,0
1,1496757341,2425,3,-39,-89,7,0,0,0
1,1496757341,2425,4,-39,-89,6,-4,0,0
1,1496757341,2425,5,-39,-91,9,-2,0,0
1,1496757341,2425,6,-40,-90,9,-2,1,0
1,1496757341,2425,7,-42,-92,11,0,1,0
1,1496757341,2425,8,-41,-91,8,-2,1,0
1,1496757341,2425,9,-42,-90,9,0,1,0
1,1496757341,2425,10,-42,-89,9,0,1,0
1,1496757341,2425,11,-39,-89,7,0,0,0
1,1496757341,2425,12,-39,-89,6,-2,0,0
1,1496757341,2425,13,-38,-86,9,-2,0,0
1,1496757341,2425,14,-41,-91,10,0,1,0
1,1496757341,2425,15,-42,-90,10,0,0,0
1,1496757341,2425,16,-42,-90,9,0,0,0
1,1496757341,2425,17,-42,-93,9,0,0,0
1,1496757341,2425,18,-42,-88,9,0,1,0
1,1496757341,2425,19,-39,-90,6,-2,0,0
1,1496757341,2425,20,-39,-88,6,-2,0,0
1,1496757342,2426,1,-39,-90,9,-2,0,0
1,1496757342,2426,2,-42,-91,10,0,1,0
1,1496757342,2426,3,-42,-93,9,0,0,0
1,1496757342,2426,4,-42,-92,9,0,0,0
1,1496757342,2426,5,-41,-88,8,0,0,0
1,1496757342,2426,6,-42,-88,9,0,0,0
1,1496757342,2426,7,-39,-88,5,-2,0,0
1,1496757342,2426,8,-40,-87,7,-4,0,0
1,1496757342,2426,9,-39,-89,10,-2,1,0
1,1496757342,2426,10,-42,-92,10,0,0,0
1,1496757342,2426,11,-41,-91,8,0,0,0
1,1496757342,2426,12,-41,-89,9,0,0,0
1,1496757342,2426,13,-40,-90,8,0,0,0
1,1496757342,2426,14,-41,-89,8,0,0,0
1,1496757342,2426,15,-40,-86,8,-4,0,0
1,1496757342,2426,16,-41,-88,9,-2,0,0
1,1496757342,2426,17,-41,-91,11,0,1,0
1,1496757342,2426,18,-41,-90,8,0,0,0
1,1496757342,2426,19,-40,-89,7,-2,0,0
1,1496757342,2426,20,-40,-91,9,-2,0,0
1,1496757343,2427,1,-39,-88,8,-2,0,0
1,1496757343,2427,2,-39,-90,6,-2,0,0
1,1496757343,2427,3,-41,-90,9,-2,0,0
1,1496757343,2427,4,-41,-91,11,0,1,0
1,1496757343,2427,5,-42,-90,10,0,1,0
1,1496757343,2427,6,-39,-89,6,-4,0,0
1,1496757343,2427,7,-40,-90,8,-2,0,0
1,1496757343,2427,8,-40,-87,9,-2,0,0
1,1496757343,2427,9,-41,-90,8,-2,1,0
1,1496757343,2427,10,-40,-92,8,-2,0,0
1,1496757343,2427,11,-40,-87,10,0,0,0
1,1496757343,2427,12,-39,-91,9,0,0,0
1,1496757343,2427,13,-41,-89,6,-2,0,0
1,1496757343,2427,14,-41,-92,7,0,0,0
1,1496757343,2427,15,-41,-92,9,0,0,0
1,1496757343,2427,16,-40,-88,8,-2,0,0
1,1496757343,2427,17,-41,-91,10,0,0,0
1,1496757343,2427,18,-39,-88,10,-2,0,0
1,1496757343,2427,19,-42,-91,9,0,1,0
1,1496757343,2427,20,-41,-92,9,0,1,0
1,1496757344,2428,1,-42,-91,9,0,0,0
1,1496757344,2428,2,-40,-89,8,-2,0,0
1,1496757344,2428,3,-42,-92,8,0,1,0
1,1496757344,2428,4,-40,-89,7,-4,0,0
1,1496757344,2428,5,-41,-87,10,-2,1,0
1,1496757344,2428,6,-41,-91,10,-2,1,0
1,1496757344,2428,7,-40,-90,6,-2,0,0
1,1496757344,2428,8,-40,-91,8,-2,0,0
1,1496757344,2428,9,-40,-89,8,-2,0,0
1,1496757344,2428,10,-41,-90,6,-2,0,0
1,1496757344,2428,11,-40,-91,7,0,0,0
1,1496757344,2428,12,-39,-91,10,0,0,0
1,1496757344,2428,13,-40,-91,9,0,0,0
1,1496757344,2428,14,-41,-92,7,0,0,0
1,1496757344,2428,15,-41,-89,8,0,0,0
1,1496757344,2428,16,-42,-93,10,0,1,0
1,1496757344,2428,17,-40,-92,8,0,0,0
1,1496757344,2428,18,-40,-90,7,-2,0,0
1,1496757344,2428,19,-40,-92,9,-2,0,0
1,1496757344,2428,20,-41,-92,9,0,1,0
1,1496757345,2428,1,-39,-90,6,-2,0,0
1,1496757345,2428,2,-41,-92,9,0,1,0
1,1496757345,2428,3,-40,-90,6,-2,0,0
1,1496757345,2428,4,-40,-89,8,-2,1,0
1,1496757345,2428,5,-40,-92,6,-2,0,0
1,1496757345,2428,6,-41,-89,10,0,1,0
1,1496757345,2428,7,-41,-92,10,0,0,0
1,1496757345,2428,8,-42,-91,8,0,0,0
1,1496757345,2428,9,-41,-93,8,0,0,0
1,1496757345,2428,10,-41,-92,9,0,0,0
1,1496757345,2428,11,-40,-88,7,-2,1,0
1,1496757345,2428,12,-41,-90,7,-2,1,0
1,1496757345,2428,13,-39,-89,8,-2,0,0
1,1496757345,2428,14,-40,-92,7,0,0,0
1,1496757345,2428,15,-39,-91,10,0,0,0
1,1496757345,2428,16,-40,-90,9,-2,0,0
1,1496757345,2428,17,-40,-91,7,-4,0,0
1,1496757345,2428,18,-41,-91,7,-2,0,0
1,1496757345,2428,19,-42,-91,7,0,0,0
1,1496757345,2428,20,-41,-92,9,0,1,0
1,1496757345,2429,1,-39,-90,6,-2,0,0
1,1496757345,2429,2,-41,-92,9,0,1,0
1,1496757345,2429,3,-40,-90,6,-2,0,0
1,1496757345,2429,4,-40,-89,8,-2,1,0
1,1496757345,2429,5,-40,-92,6,-2,0,0
1,1496757345,2429,6,-41,-89,10,0,1,0
1,1496757345,2429,7,-41,-92,10,0,0,0
1,1496757345,2429,8,-42,-91,8,0,0,0
1,1496757345,2429,9,-41,-93,8,0,0,0
1,1496757345,2429,10,-41,-92,9,0,0,0
1,1496757345,2429,11,-40,-88,7,-2,1,0
1,1496757345,2429,12,-41,-90,7,-2,1,0
1,1496757345,2429,13,-39,-89,8,-2,0,0
1,1496757345,2429,14,-40,-92,7,0,0,0
1,1496757345,2429,15,-39,-91,10,0,0,0
1,1496757345,2429,16,-40,-90,9,-2,0,0
1,1496757345,2429,17,-40,-91,7,-4,0,0
1,1496757345,2429,18,-41,-91,7,-2,0,0
1,1496757345,2429,19,-42,-91,7,0,0,0
1,1496757345,2429,20,-40,-88,5,-2,0,0
1,1496757346,2430,1,-40,-92,10,0,0,0
1,1496757346,2430,2,-39,-88,7,-2,0,0
1,1496757346,2430,3,-40,-90,8,-2,0,0
1,1496757346,2430,4,-40,-87,9,-2,1,0
1,1496757346,2430,5,-41,-89,10,0,0,0
1,1496757346,2430,6,-42,-90,9,0,1,0
1,1496757346,2430,7,-39,-88,10,-2,0,0
1,1496757346,2430,8,-40,-89,8,-4,0,0
1,1496757346,2430,9,-40,-88,9,-2,1,0
1,1496757346,2430,10,-41,-91,9,0,1,0
1,1496757346,2430,11,-40,-92,8,0,0,0
1,1496757346,2430,12,-40,-88,7,0,1,0
1,1496757346,2430,13,-40,-91,6,0,0,0
1,1496757346,2430,14,-39,-90,9,-4,0,0
1,1496757346,2430,15,-40,-86,7,0,0,0
1,1496757346,2430,16,-39,-90,10,0,0,0
1,1496757346,2430,17,-41,-90,9,-2,0,0
1,1496757346,2430,18,-42,-93,10,0,1,0
1,1496757346,2430,19,-41,-90,8,0,0,0
1,1496757346,2430,20,-41,-87,8,0,0,0
1,1496757347,2431,1,-40,-90,6,0,0,0
1,1496757347,2431,2,-41,-90,8,0,0,0
1,1496757347,2431,3,-39,-91,8,-2,0,0
1,1496757347,2431,4,-39,-92,7,0,0,0
1,1496757347,2431,5,-40,-92,9,0,0,0
1,1496757347,2431,6,-40,-94,10,0,0,0
1,1496757347,2431,7,-41,-92,8,-2,0,0
1,1496757347,2431,8,-41,-87,9,0,0,0
1,1496757347,2431,9,-43,-90,9,0,0,0
1,1496757347,2431,10,-43,-90,9,0,0,0
1,1496757347,2431,11,-40,-90,8,-4,0,0
1,1496757347,2431,12,-40,-95,8,-2,0,0
1,1496757347,2431,13,-39,-92,6,-2,0,0
1,1496757347,2431,14,-40,-88,8,0,0,0
1,1496757347,2431,15,-39,-89,6,0,0,0
1,1496757347,2431,16,-40,-87,9,0,0,0
1,1496757347,2431,17,-40,-90,10,0,0,0
1,1496757347,2431,18,-41,-93,10,0,0,0
1,1496757347,2431,19,-40,-92,9,-2,0,0
1,1496757347,2431,20,-41,-91,10,0,1,0
1,1496757347,2432,1,-41,-91,8,-2,1,0
1,1496757347,2432,2,-40,-87,6,-2,0,0
1,1496757347,2432,3,-39,-88,7,-2,0,0
1,1496757347,2432,4,-39,-88,9,0,0,0
1,1496757347,2432,5,-39,-90,9,-2,0,0
1,1496757347,2432,6,-40,-90,7,-2,0,0
1,1496757347,2432,7,-42,-91,11,0,1,0
1,1496757347,2432,8,-42,-90,10,0,0,0
1,1496757347,2432,9,-41,-88,7,0,0,0
1,1496757347,2432,10,-40,-90,8,-2,0,0
1,1496757347,2432,11,-40,-87,10,-2,0,0
1,1496757347,2432,12,-40,-92,8,-2,0,0
1,1496757347,2432,13,-40,-93,9,0,1,0
1,1496757347,2432,14,-39,-93,8,0,0,0
1,1496757347,2432,15,-40,-89,9,0,0,0
1,1496757347,2432,16,-41,-87,7,-2,0,0
1,1496757347,2432,17,-41,-90,8,0,0,0
1,1496757347,2432,18,-40,-88,11,-2,0,0
1,1496757347,2432,19,-42,-89,9,-2,0,0
1,1496757347,2432,20,-40,-93,8,-2,0,0
1,1496757348,2433,1,-40,-93,8,-2,1,0
1,1496757348,2433,2,-40,-88,7,-2,0,0
1,1496757348,2433,3,-39,-89,6,-2,0,0
1,1496757348,2433,4,-39,-88,9,-2,0,0
1,1496757348,2433,5,-41,-89,10,0,0,0
1,1496757348,2433,6,-41,-91,10,0,1,0
1,1496757348,2433,7,-41,-91,8,0,0,0
1,1496757348,2433,8,-42,-90,8,0,0,0
1,1496757348,2433,9,-42,-87,9,0,0,0
1,1496757348,2433,10,-40,-88,8,-2,0,0
1,1496757348,2433,11,-39,-92,8,-2,0,0
1,1496757348,2433,12,-39,-92,8,-2,0,0
1,1496757348,2433,13,-39,-90,8,-2,0,0
1,1496757348,2433,14,-43,-92,11,0,0,0
1,1496757348,2433,15,-43,-89,11,0,1,0
1,1496757348,2433,16,-43,-90,9,0,0,0
1,1496757348,2433,17,-41,-91,7,0,0,0
1,1496757348,2433,18,-41,-87,11,0,1,0
1,1496757348,2433,19,-39,-90,8,-2,0,0
1,1496757348,2433,20,-40,-91,9,-2,0,0
1,1496757350,2435,1,-39,-93,7,-2,0,0
1,1496757350,2435,2,-41,-90,8,0,0,0
1,1496757350,2435,3,-41,-89,7,-2,0,0
1,1496757350,2435,4,-41,-88,8,0,0,0
1,1496757350,2435,5,-41,-87,12,0,1,0
1,1496757350,2435,6,-41,-90,9,0,0,0
1,1496757350,2435,7,-40,-92,8,-2,0,0
1,1496757350,2435,8,-39,-89,9,0,0,0
1,1496757350,2435,9,-40,-89,8,-2,0,0
1,1496757350,2435,10,-39,-88,6,-2,0,0
1,1496757350,2435,11,-40,-90,8,-2,0,0
1,1496757350,2435,12,-38,-87,9,0,0,0
1,1496757350,2435,13,-40,-91,10,0,1,0
1,1496757350,2435,14,-40,-91,7,-2,0,0
1,1496757350,2435,15,-40,-91,9,0,1,0
1,1496757350,2435,16,-40,-90,7,-2,0,0
1,1496757350,2435,17,-40,-90,6,-2,0,0
1,1496757350,2435,18,-39,-87,9,-2,0,0
1,1496757350,2435,19,-41,-90,10,0,0,0
1,1496757350,2435,20,-41,-91,10,0,0,0
1,1496757351,2436,1,-40,-92,10,0,1,0
1,1496757351,2436,2,-41,-91,7,-2,0,0
1,1496757351,2436,3,-41,-89,7,-2,0,0
1,1496757351,2436,4,-39,-88,9,-2,0,0
1,1496757351,2436,5,-40,-86,8,-2,0,0
1,1496757351,2436,6,-39,-92,8,0,0,0
1,1496757351,2436,7,-41,-89,10,0,0,0
1,1496757351,2436,8,-40,-89,9,0,0,0
1,1496757351,2436,9,-41,-90,8,0,0,0
1,1496757351,2436,10,-41,-89,8,0,0,0
1,1496757351,2436,11,-40,-87,10,-2,0,0
1,1496757351,2436,12,-41,-91,9,0,0,0
1,1496757351,2436,13,-40,-90,8,-2,0,0
1,1496757351,2436,14,-40,-89,8,0,0,0
1,1496757351,2436,15,-41,-92,8,0,0,0
1,1496757351,2436,16,-41,-89,7,0,0,0
1,1496757351,2436,17,-40,-87,9,0,0,0
1,1496757351,2436,18,-40,-92,11,0,0,0
1,1496757351,2436,19,-41,-90,10,-2,0,0
1,1496757351,2436,20,-40,-91,9,-2,0,0
1,1496757352,2437,1,-40,-93,9,0,1,0
1,1496757352,2437,2,-40,-90,7,0,0,0
1,1496757352,2437,3,-40,-89,8,0,0,0
1,1496757352,2437,4,-39,-88,7,0,0,0
1,1496757352,2437,5,-41,-91,9,0,0,0
1,1496757352,2437,6,-40,-92,9,-2,0,0
